POSTCODE,POSITIONAL_QUALITY_INDICATOR,PO_BOX_INDICATOR,TOTAL_NUMBER_OF_DELIVERY_POINTS,DELIVERY_POINTS_CPLC,DOMESTIC_DELIVERY_POINTS,NON_DOMESTIC_DELIVERY_POINTS,PO_BOX_DELIVERY_POINTS,MATCHED_ADDRESS_PREMISES,UNMATCHED_DELIVERY_POINTS,COUNTRY_CODE,NHS_REGIONAL_HA_CODE,NHS_HA_CODE,ADMIN_COUNTY_CODE,ADMIN_DISTRICT_CODE,ADMIN_WARD_CODE,POSTCODE_TYPE,WKT
EX4 6ST,10,N,13,13,12,1,0,7,0,E92000001,E19000002,E18000010,E10000008,E07000041,E05003497,S,POINT (292996 93347)
EX1 1BA,10,N,13,13,8,5,0,12,0,E92000001,E19000002,E18000010,E10000008,E07000041,E05003502,S,POINT (291725 92265)
EX1 1DE,10,N,12,12,12,0,0,6,0,E92000001,E19000002,E18000010,E10000008,E07000041,E05003502,S,POINT (291927 92206)
EX1 1GA,10,N,5,5,0,5,0,2,0,E92000001,E19000002,E18000010,E10000008,E07000041,E05003502,S,POINT (292392 92787)
EX1 1TZ,10,N,1,1,0,1,0,1,0,E92000001,E19000002,E18000010,E10000008,E07000041,E05003502,L,POINT (292315 92644)
EX1 2JY,10,N,1,1,1,0,0,1,0,E92000001,E19000002,E18000010,E10000008,E07000041,E05003502,S,POINT (292566 92814)
EX1 9SA,10,N,1,1,0,1,0,1,0,E92000001,E19000002,E18000010,E10000008,E07000041,E05003502,L,POINT (292446 92788)
EX1 9SB,10,N,1,1,0,1,0,1,0,E92000001,E19000002,E18000010,E10000008,E07000041,E05003502,S,POINT (292446 92788)
EX1 9SL,10,N,1,1,0,1,0,1,0,E92000001,E19000002,E18000010,E10000008,E07000041,E05003502,S,POINT (292446 92788)
EX2 4AZ,10,N,6,6,4,2,0,6,0,E92000001,E19000002,E18000010,E10000008,E07000041,E05003502,S,POINT (292149 92146)
EX2 8YR,10,Y,1,1,0,0,1,1,0,E92000001,E19000002,E18000010,E10000008,E07000041,E05003497,L,POINT (292656 92951)
EX4 3ES,10,N,8,8,8,0,0,8,0,E92000001,E19000002,E18000010,E10000008,E07000041,E05003502,S,POINT (291782 92769)
EX4 3JW,10,N,10,10,6,4,0,6,0,E92000001,E19000002,E18000010,E10000008,E07000041,E05003502,S,POINT (291685 92264)
EX4 3NJ,10,N,1,1,0,1,0,1,0,E92000001,E19000002,E18000010,E10000008,E07000041,E05003502,L,POINT (291913 92753)
EX4 3NL,10,N,1,1,0,1,0,1,0,E92000001,E19000002,E18000010,E10000008,E07000041,E05003502,L,POINT (292116 92778)
EX4 3PU,10,N,4,4,3,1,0,4,0,E92000001,E19000002,E18000010,E10000008,E07000041,E05003502,S,POINT (292127 92953)
EX4 3SH,10,N,5,5,1,4,0,4,0,E92000001,E19000002,E18000010,E10000008,E07000041,E05003502,S,POINT (291912 92826)
EX4 3SP,10,N,1,1,0,1,0,1,0,E92000001,E19000002,E18000010,E10000008,E07000041,E05003502,L,POINT (291823 92859)
EX4 3ZT,10,Y,1,1,0,0,1,1,0,E92000001,E19000002,E18000010,E10000008,E07000041,E05003497,L,POINT (292656 92951)
EX4 4DD,10,N,2,2,2,0,0,1,0,E92000001,E19000002,E18000010,E10000008,E07000041,E05003502,S,POINT (291302 93299)
EX4 4DS,10,N,14,14,14,0,0,2,0,E92000001,E19000002,E18000010,E10000008,E07000041,E05003502,S,POINT (291449 93069)
EX4 4LJ,10,N,20,19,20,0,0,7,1,E92000001,E19000002,E18000010,E10000008,E07000041,E05003503,S,POINT (291709 93149)
EX4 6BQ,10,N,8,8,8,0,0,3,0,E92000001,E19000002,E18000010,E10000008,E07000041,E05003503,S,POINT (292403 93311)
EX4 6DH,10,N,44,44,44,0,0,2,0,E92000001,E19000002,E18000010,E10000008,E07000041,E05003503,S,POINT (292503 93742)
EX4 6QR,10,N,22,22,17,5,0,21,0,E92000001,E19000002,E18000010,E10000008,E07000041,E05003503,S,POINT (292582 93245)
EX4 6RF,10,N,24,24,21,3,0,6,0,E92000001,E19000002,E18000010,E10000008,E07000041,E05003497,S,POINT (292722 93193)
EX4 8WY,10,Y,1,1,0,0,1,1,0,E92000001,E19000002,E18000010,E10000008,E07000041,E05003497,L,POINT (292656 92951)
EX1 1HP,10,N,4,4,4,0,0,4,0,E92000001,E19000002,E18000010,E10000008,E07000041,E05003502,S,POINT (291959 92529)
EX1 1JW,10,N,1,1,0,1,0,1,0,E92000001,E19000002,E18000010,E10000008,E07000041,E05003502,L,POINT (292446 92788)
EX1 1NX,10,N,7,7,1,6,0,4,0,E92000001,E19000002,E18000010,E10000008,E07000041,E05003502,S,POINT (292354 92520)
EX1 1SE,10,N,34,34,29,5,0,9,0,E92000001,E19000002,E18000010,E10000008,E07000041,E05003497,S,POINT (292624 92498)
EX1 2AT,10,N,7,7,0,7,0,5,0,E92000001,E19000002,E18000010,E10000008,E07000041,E05003497,S,POINT (292659 93076)
EX1 9QH,10,Y,1,1,0,0,1,1,0,E92000001,E19000002,E18000010,E10000008,E07000041,E05003497,L,POINT (292656 92951)
EX2 4EP,10,N,5,5,5,0,0,5,0,E92000001,E19000002,E18000010,E10000008,E07000041,E05003504,S,POINT (292628 92165)
EX2 4LH,10,N,14,14,14,0,0,14,0,E92000001,E19000002,E18000010,E10000008,E07000041,E05003504,S,POINT (292861 92078)
EX2 4LJ,10,N,3,3,3,0,0,3,0,E92000001,E19000002,E18000010,E10000008,E07000041,E05003504,S,POINT (292940 92069)
EX2 4YB,10,Y,1,1,0,0,1,1,0,E92000001,E19000002,E18000010,E10000008,E07000041,E05003497,L,POINT (292656 92951)
EX4 1BE,10,N,8,8,8,0,0,8,0,E92000001,E19000002,E18000010,E10000008,E07000041,E05003506,S,POINT (291174 92011)
EX4 3HS,10,N,18,18,18,0,0,8,0,E92000001,E19000002,E18000010,E10000008,E07000041,E05003502,S,POINT (291483 92473)
EX4 3JB,10,N,1,1,0,1,0,1,0,E92000001,E19000002,E18000010,E10000008,E07000041,E05003502,L,POINT (291823 92422)
EX4 3JF,10,N,2,2,0,2,0,2,0,E92000001,E19000002,E18000010,E10000008,E07000041,E05003502,S,POINT (291779 92379)
EX4 3LJ,10,N,5,4,0,5,0,1,1,E92000001,E19000002,E18000010,E10000008,E07000041,E05003502,S,POINT (292018 92764)
EX4 3LS,10,N,46,46,4,42,0,30,0,E92000001,E19000002,E18000010,E10000008,E07000041,E05003502,S,POINT (292014 92806)
EX4 3SA,10,N,12,12,12,0,0,2,0,E92000001,E19000002,E18000010,E10000008,E07000041,E05003502,S,POINT (291923 92877)
EX4 4FD,10,N,26,26,25,1,0,1,0,E92000001,E19000002,E18000010,E10000008,E07000041,E05003502,S,POINT (291213 93094)
EX4 4FF,10,N,11,11,11,0,0,1,0,E92000001,E19000002,E18000010,E10000008,E07000041,E05003502,S,POINT (291213 93094)
EX4 4FH,10,N,9,9,9,0,0,1,0,E92000001,E19000002,E18000010,E10000008,E07000041,E05003502,S,POINT (291213 93094)
EX4 4PR,10,N,8,8,7,1,0,4,0,E92000001,E19000002,E18000010,E10000008,E07000041,E05003493,S,POINT (292270 93788)
EX4 6HR,10,N,26,26,26,0,0,23,0,E92000001,E19000002,E18000010,E10000008,E07000041,E05003503,S,POINT (292853 93777)
EX4 6RP,10,N,33,33,33,0,0,25,0,E92000001,E19000002,E18000010,E10000008,E07000041,E05003503,S,POINT (292619 93586)
EX1 1DJ,10,N,27,27,27,0,0,15,0,E92000001,E19000002,E18000010,E10000008,E07000041,E05003502,S,POINT (291879 92353)
EX1 1LB,10,Y,1,1,0,0,1,1,0,E92000001,E19000002,E18000010,E10000008,E07000041,E05003497,L,POINT (292656 92951)
EX1 2DB,10,N,2,2,0,2,0,2,0,E92000001,E19000002,E18000010,E10000008,E07000041,E05003497,S,POINT (292699 92898)
EX1 2FE,10,N,25,25,25,0,0,1,0,E92000001,E19000002,E18000010,E10000008,E07000041,E05003497,S,POINT (292678 93106)
EX1 9ER,10,Y,1,1,0,0,1,1,0,E92000001,E19000002,E18000010,E10000008,E07000041,E05003497,L,POINT (292656 92951)
EX1 9JX,10,Y,1,1,0,0,1,1,0,E92000001,E19000002,E18000010,E10000008,E07000041,E05003497,L,POINT (292656 92951)
EX2 4JF,10,N,4,4,2,2,0,3,0,E92000001,E19000002,E18000010,E10000008,E07000041,E05003504,S,POINT (292294 92187)
EX2 4LZ,10,N,5,5,5,0,0,5,0,E92000001,E19000002,E18000010,E10000008,E07000041,E05003504,S,POINT (292614 92056)
EX2 7ZP,10,Y,1,1,0,0,1,1,0,E92000001,E19000002,E18000010,E10000008,E07000041,E05003497,L,POINT (292656 92951)
EX4 3DS,10,N,1,1,1,0,0,1,0,E92000001,E19000002,E18000010,E10000008,E07000041,E05003502,S,POINT (291649 92261)
EX4 3SN,10,N,1,1,0,1,0,1,0,E92000001,E19000002,E18000010,E10000008,E07000041,E05003502,L,POINT (291922 92819)
EX4 4BL,10,N,40,40,39,1,0,38,0,E92000001,E19000002,E18000010,E10000008,E07000041,E05003502,S,POINT (291248 93098)
EX4 4EE,10,N,19,19,18,1,0,15,0,E92000001,E19000002,E18000010,E10000008,E07000041,E05003502,S,POINT (291629 92752)
EX4 4UU,10,N,40,40,40,0,0,36,0,E92000001,E19000002,E18000010,E10000008,E07000041,E05003503,S,POINT (292038 93487)
EX4 6AH,10,N,3,3,0,3,0,3,0,E92000001,E19000002,E18000010,E10000008,E07000041,E05003503,S,POINT (292334 93031)
EX4 6RD,10,N,5,5,2,3,0,5,0,E92000001,E19000002,E18000010,E10000008,E07000041,E05003497,S,POINT (292406 92904)
EX1 1AN,10,N,9,9,9,0,0,1,0,E92000001,E19000002,E18000010,E10000008,E07000041,E05003502,S,POINT (291995 92317)
EX1 1BD,10,N,14,14,14,0,0,14,0,E92000001,E19000002,E18000010,E10000008,E07000041,E05003502,S,POINT (291763 92290)
EX1 1JL,10,N,1,1,1,0,0,1,0,E92000001,E19000002,E18000010,E10000008,E07000041,E05003502,S,POINT (292097 92370)
EX1 2AW,10,N,31,31,29,2,0,5,0,E92000001,E19000002,E18000010,E10000008,E07000041,E05003497,S,POINT (292718 93133)
EX1 2BL,10,N,5,5,4,1,0,3,0,E92000001,E19000002,E18000010,E10000008,E07000041,E05003497,S,POINT (292952 93012)
EX1 9NX,10,Y,1,1,0,0,1,1,0,E92000001,E19000002,E18000010,E10000008,E07000041,E05003497,L,POINT (292656 92951)
EX2 4LF,10,N,1,1,1,0,0,1,0,E92000001,E19000002,E18000010,E10000008,E07000041,E05003504,S,POINT (292690 92181)
